,2024-11-04,,Westminster (PA),REG (Non-Conf),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-12-18,@,Wright State,REG (Conf),W,80,70,,28,63,.444,10,30,.333,18,33,.545,.524,14,21,.667,10,22,32,13,6,1,7,17,26,55,.473,10,24,.417,16,31,.516,.564,8,15,.533,5,28,33,14,4,4,14,17
14,2024-12-21,@,USC Upstate,REG (Non-Conf),W,72,64,,23,57,.404,6,28,.214,17,29,.586,.456,20,25,.800,6,30,36,9,9,6,15,17,24,67,.358,1,18,.056,23,49,.469,.366,15,19,.789,8,27,35,13,10,1,16,23
15,2024-12-29,,Detroit Mercy,REG (Conf),W,73,64,,22,60,.367,9,29,.310,13,31,.419,.442,20,32,.625,8,28,36,14,11,4,15,21,20,64,.313,2,16,.125,18,48,.375,.328,22,30,.733,14,29,43,9,11,1,16,26
16,2025-01-01,@,IU Indy,REG (Conf),W,77,61,,21,49,.429,12,25,.480,9,24,.375,.551,23,28,.821,9,31,40,14,2,9,12,21,19,62,.306,7,26,.269,12,36,.333,.363,16,23,.696,12,21,33,11,8,4,9,19
17,2025-01-04,@,Purdue Fort Wayne,REG (Conf),L,81,90,,31,65,.477,9,31,.290,22,34,.647,.546,10,16,.625,7,30,37,9,5,4,14,20,34,65,.523,11,25,.440,23,40,.575,.608,11,18,.611,1,29,30,18,9,4,7,15
18,2025-01-08,,Northern Kentucky,REG (Conf),W,72,61,,25,56,.446,13,28,.464,12,28,.429,.563,9,9,1.000,11,24,35,17,6,8,16,13,23,60,.383,6,21,.286,17,39,.436,.433,9,11,.818,9,16,25,10,9,0,12,15
19,2025-01-11,,Cleveland State,REG (Conf),L,72,80,,22,55,.400,13,31,.419,9,24,.375,.518,15,16,.938,4,19,23,16,4,3,12,16,29,59,.492,11,22,.500,18,37,.486,.585,11,16,.688,8,24,32,18,8,3,7,17
20,2025-01-17,@,Milwaukee,REG (Conf),L,64,79,,20,51,.392,5,24,.208,15,27,.556,.441,19,27,.704,7,19,26,6,6,6,14,24,33,63,.524,0,5,.000,33,58,.569,.524,13,28,.464,15,27,42,15,5,5,8,21
21,2025-01-19,@,Green Bay,REG (Conf),W,73,69,,26,61,.426,6,26,.231,20,35,.571,.475,15,22,.682,12,17,29,13,8,2,6,20,19,39,.487,6,13,.462,13,26,.500,.564,25,30,.833,3,20,23,14,1,1,16,19
22,2025-01-22,,Robert Morris,REG (Conf),L,70,72,,27,55,.491,8,26,.308,19,29,.655,.564,8,9,.889,8,18,26,20,7,8,15,19,27,63,.429,6,17,.353,21,46,.457,.476,12,17,.706,14,19,33,14,9,2,11,14
23,2025-01-24,,Penn St. Shenango,REG (Non-Conf),W,112,63,,41,84,.488,15,43,.349,26,41,.634,.577,15,24,.625,25,46,71,23,4,9,12,9,24,82,.293,6,25,.240,18,57,.316,.329,9,10,.900,8,19,27,10,8,2,7,15
24,2025-01-30,,Wright State,REG (Conf),W,88,86,,29,61,.475,10,31,.323,19,30,.633,.557,20,27,.741,7,21,28,17,11,2,11,14,32,57,.561,11,27,.407,21,30,.700,.658,11,14,.786,4,26,30,19,9,2,18,23
25,2025-02-01,,IU Indy,REG (Conf),L,79,84,,34,71,.479,4,27,.148,30,44,.682,.507,7,9,.778,15,26,41,13,5,7,7,19,29,61,.475,11,23,.478,18,38,.474,.566,15,22,.682,8,18,26,13,5,1,6,15
26,2025-02-06,@,Oakland,REG (Conf),W,84,75,,29,66,.439,10,34,.294,19,32,.594,.515,16,17,.941,11,23,34,12,13,6,13,23,28,62,.452,7,25,.280,21,37,.568,.508,12,20,.600,10,24,34,14,7,2,17,17
27,2025-02-08,@,Detroit Mercy,REG (Conf),W,87,72,,27,58,.466,16,34,.471,11,24,.458,.603,17,20,.850,10,16,26,16,7,2,8,18,27,57,.474,3,14,.214,24,43,.558,.500,15,19,.789,12,21,33,12,5,1,13,16
28,2025-02-12,,Purdue Fort Wayne,REG (Conf),W,93,71,,30,60,.500,12,32,.375,18,28,.643,.600,21,24,.875,11,26,37,18,8,7,9,13,26,65,.400,10,31,.323,16,34,.471,.477,9,11,.818,7,19,26,13,7,1,8,15
29,2025-02-16,@,Cleveland State,REG (Conf),W,68,60,,21,45,.467,6,14,.429,15,31,.484,.533,20,26,.769,10,23,33,10,6,3,17,18,22,62,.355,3,20,.150,19,42,.452,.379,13,19,.684,13,13,26,10,5,2,11,19
30,2025-02-21,,Milwaukee,REG (Conf),L,74,84,,25,51,.490,9,25,.360,16,26,.615,.578,15,20,.750,3,18,21,14,5,8,11,21,28,58,.483,7,17,.412,21,41,.512,.543,21,25,.840,11,22,33,19,5,1,13,19
31,2025-02-23,,Green Bay,REG (Conf),W,81,77,,27,55,.491,6,18,.333,21,37,.568,.545,21,31,.677,9,25,34,10,5,5,16,19,27,59,.458,9,29,.310,18,30,.600,.534,14,21,.667,10,21,31,19,9,1,12,23
32,2025-03-01,@,Northern Kentucky,REG (Conf),L,79,88,,26,57,.456,14,29,.483,12,28,.429,.579,13,17,.765,7,16,23,18,5,1,10,18,30,58,.517,9,24,.375,21,34,.618,.595,19,23,.826,8,24,32,15,3,4,8,16

33,2025-03-06,,Purdue Fort Wayne,CTOURN,W,72,67,,21,58,.362,5,28,.179,16,30,.533,.405,25,31,.806,10,34,44,10,6,5,17,20,23,62,.371,8,27,.296,15,35,.429,.435,13,20,.650,6,23,29,11,9,3,13,23
34,2025-03-10,N,Cleveland State,CTOURN,W,56,54,,18,50,.360,8,25,.320,10,25,.400,.440,12,23,.522,12,20,32,11,10,4,11,12,19,46,.413,8,12,.667,11,34,.324,.500,8,12,.667,6,20,26,12,7,5,15,19
35,2025-03-11,N,Robert Morris,CTOURN,L,78,89,,27,63,.429,11,29,.379,16,34,.471,.516,13,17,.765,7,25,32,17,5,7,5,21,29,62,.468,11,22,.500,18,40,.450,.556,20,28,.714,14,26,40,23,2,4,8,16
